Unnamed: 0,brand,current_price,ram,storage,os,graphics,processor
0,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
1,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
2,ASUS,40990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
3,ASUS,37990.0,8,512,Windows 11,Integrated,Intel Core i3
4,HP,112800.0,24,1024,Windows 11,8 GB Graphics,AMD Ryzen 7
5,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
6,HP,64990.0,16,512,Windows 11,Integrated,Intel Core i5
7,Lenovo,53990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
8,ASUS,37990.0,16,512,Windows 11,Integrated,AMD Ryzen 3
9,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
10,ASUS,40990.0,8,512,Windows 11,Integrated,Intel Core i3
11,HP,60990.0,16,512,Windows 11,Integrated,Intel Core i5
12,Lenovo,54990.0,16,512,Windows 11,Integrated,Intel Core i5
13,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
14,Acer,39990.0,12,512,Windows 11,Integrated,Intel Core Ultra
15,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
16,HP,59491.0,16,512,Windows 11,Integrated,Intel Core 3
17,Ultimus,21990.0,8,256,Windows 11,Integrated,Intel Core Ultra
18,Lenovo,27990.0,8,512,Windows 11,Integrated,Intel Core Ultra
19,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
20,Lenovo,77780.0,24,1024,Windows 11,Integrated,Intel Core i5
21,ASUS,43990.0,8,512,Windows 11,Integrated,AMD Ryzen 3
22,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
23,Ultimus,15905.0,4,512,Windows 11,Integrated,Intel Core Ultra
24,ASUS,66093.0,16,512,Windows 11,Integrated,Intel Core i5
25,Acer,39000.0,8,512,Windows 11,Integrated,Intel Core Ultra
26,Acer,20990.0,12,256,Windows 11,Integrated,Intel Core Ultra
27,ASUS,49990.0,8,512,Windows 11,Integrated,Intel Core i3
28,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
29,ASUS,58990.0,16,512,Windows 11,Integrated,Intel Core 5
30,HP,45990.0,8,512,Windows 11,Integrated,Intel Core i3
31,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
32,Lenovo,99990.0,16,512,Windows 11,6 GB Graphics,Intel Core i7
33,Acer,41490.0,8,512,Windows 11,Integrated,AMD Ryzen 3
34,Acer,51990.0,16,512,Windows 11,Integrated,Intel Core i5
35,ASUS,49500.0,16,512,Windows 11,Integrated,Intel Core i3
36,Lenovo,50990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
37,ASUS,56013.0,16,512,Windows 11,Integrated,Intel Core i3
38,Acer,36990.0,8,512,Windows 11,Integrated,Intel Core i3
39,Lenovo,14990.0,4,512,Windows 11,Integrated,Intel Core Ultra
40,ASUS,46990.0,8,512,Windows 11,Integrated,Intel Core i3
41,ASUS,46990.0,16,512,Windows 11,Integrated,Intel Core i3
42,HP,50190.0,8,512,Windows 11,Integrated,Intel Core 3
43,Lenovo,64990.0,16,512,Windows 11,Integrated,Intel Core i5
44,MSI,51579.0,16,512,Windows 11,Integrated,AMD Ryzen 5
45,DELL,46990.0,16,512,Windows 11,Integrated,Intel Core i3
46,HP,46980.0,8,512,Windows 11,Integrated,Intel Core 3
47,Acer,55990.0,16,1024,Windows 11,Integrated,AMD Ryzen 5
48,ASUS,38990.0,8,512,Windows 11,Integrated,AMD Ryzen 3
49,Lenovo,43900.0,8,512,Windows 11,Integrated,Intel Core Ultra
50,Lenovo,72990.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
51,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
52,MSI,44990.0,16,512,Windows 11,Integrated,Intel Core i3
53,Acer,44479.0,8,512,Windows 11,Integrated,AMD Ryzen 3
54,ASUS,56990.0,16,512,Windows 11,Integrated,Intel Core i3
55,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
56,HP,60990.0,16,512,Windows 11,Integrated,Intel Core i5
57,HP,67990.0,8,512,Windows 11,Integrated,Intel Core i5
58,Acer,48990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
59,Acer,21990.0,8,512,Windows 11,Integrated,Intel Core Ultra
60,Acer,29990.0,8,128,Windows 11,Integrated,Intel Core Ultra
61,HP,43990.0,8,256,Windows 11,Integrated,Intel Core Ultra
62,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
63,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
64,HP,74768.0,16,512,Windows 11,Integrated,Intel Core Ultra
65,HP,61149.0,16,512,Windows 11,Integrated,AMD Ryzen 5
66,Lenovo,58990.0,16,512,Windows 11,Integrated,Intel Core i5
67,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
68,ASUS,51990.0,16,512,Windows 11,Integrated,Intel Core 5
69,Acer,44990.0,16,512,Windows 11,Integrated,Intel Core i3
70,ASUS,87990.0,16,512,Windows 11,Integrated,Intel Core Ultra
71,HP,56990.0,16,512,Windows 11,Integrated,Intel Core i5
72,HP,65890.0,8,1024,Windows 11,Integrated,Intel Core i5
73,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
74,Lenovo,61999.0,16,512,Windows 11,Integrated,Intel Core i5
75,HP,44980.0,8,512,Windows 11,Integrated,AMD Ryzen 3
76,ASUS,40990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
77,Ultimus,21990.0,8,256,Windows 11,Integrated,Intel Core Ultra
78,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
79,HP,60990.0,16,512,Windows 11,Integrated,AMD Ryzen 7
80,ASUS,46990.0,16,512,Windows 11,Integrated,Intel Core i3
81,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
82,Lenovo,65990.0,12,512,Windows 11,6 GB Graphics,AMD Ryzen 5
83,Acer,72990.0,16,512,Windows 11,6 GB Graphics,Intel Core i7
84,DELL,59990.0,8,512,Windows 11,Integrated,Intel Core i5
85,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
86,Acer,59990.0,16,1024,Windows 11,Integrated,AMD Ryzen 7
87,MSI,67490.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
88,HP,65900.0,16,512,Windows 11,Integrated,Intel Core 5
89,Acer,40500.0,8,256,Windows 11,Integrated,Intel Core Ultra
90,Lenovo,58990.0,16,512,Windows 11,Integrated,Intel Core i5
91,HP,59491.0,16,512,Windows 11,Integrated,Intel Core 3
92,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
