Unnamed: 0,brand,current_price,ram,storage,os,graphics,processor
83,Acer,72990.0,16,512,Windows 11,6 GB Graphics,Intel Core i7
90,Lenovo,58990.0,16,512,Windows 11,Integrated,Intel Core i5
227,Ultimus,15905.0,4,512,Windows 11,Integrated,Intel Core Ultra
482,Apple,138490.0,16,512,Windows 11,Integrated,Intel Core Ultra
464,HP,54990.0,16,512,Windows 11,Integrated,Intel Core 3
369,ASUS,36990.0,16,512,Windows 11,Integrated,Intel Core Ultra
79,HP,60990.0,16,512,Windows 11,Integrated,AMD Ryzen 7
23,Ultimus,15905.0,4,512,Windows 11,Integrated,Intel Core Ultra
184,Lenovo,96000.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
289,Lenovo,70990.0,16,512,Windows 11,Integrated,Intel Core 7
527,Lenovo,48990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
573,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
428,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
165,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
411,MICROSOFT,100990.0,16,512,Windows 11,Integrated,Snapdragon X
525,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
9,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
362,Lenovo,85000.0,16,512,Windows 11,Integrated,Intel Core Ultra
488,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
426,HP,49990.0,16,512,Windows 11,Integrated,AMD Ryzen 3
600,ASUS,72633.0,16,512,Windows 11,Integrated,Intel Core i7
383,HP,58790.0,8,512,Windows 11,Integrated,Intel Core i3
84,DELL,59990.0,8,512,Windows 11,Integrated,Intel Core i5
265,ASUS,36990.0,8,512,Windows 11,Integrated,Intel Core i3
199,Lenovo,52990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
598,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
535,Acer,62990.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
468,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
582,MSI,74990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
291,DELL,68990.0,16,512,Windows 11,Integrated,Intel Core i5
75,HP,44980.0,8,512,Windows 11,Integrated,AMD Ryzen 3
92,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
304,Acer,49990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
68,ASUS,51990.0,16,512,Windows 11,Integrated,Intel Core 5
15,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
211,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
268,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
88,HP,65900.0,16,512,Windows 11,Integrated,Intel Core 5
514,DELL,71999.0,16,512,Windows 11,Integrated,Snapdragon X
117,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
395,Acer,59900.0,16,512,Windows 11,Integrated,Intel Core Ultra
419,WINGS,38490.0,8,512,Windows 11,Integrated,Intel Core i5
33,Acer,41490.0,8,512,Windows 11,Integrated,AMD Ryzen 3
0,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
607,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
177,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
356,Acer,43550.0,8,256,Windows 11,Integrated,Intel Core i3
399,DELL,99999.0,16,1024,Windows 11,Integrated,Intel Core Ultra
499,HP,58025.0,16,512,Windows 11,Integrated,Intel Core i5
259,MSI,44990.0,16,512,Windows 11,Integrated,Intel Core i3
22,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
456,HP,76500.0,16,512,Windows 11,Integrated,Intel Core i5
116,MSI,42990.0,8,512,Windows 11,Integrated,Intel Core i3
89,Acer,40500.0,8,256,Windows 11,Integrated,Intel Core Ultra
583,DELL,68990.0,8,1024,Windows 10,4 GB Graphics,Intel Core i5
443,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
18,Lenovo,27990.0,8,512,Windows 11,Integrated,Intel Core Ultra
380,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
446,Lenovo,49990.0,16,512,Windows 11,Integrated,Intel Core i3
144,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
290,Lenovo,18590.0,4,512,Windows 11,Integrated,Intel Core Ultra
353,HP,44990.0,8,512,Windows 11,Integrated,Intel Core Ultra
553,HP,83498.0,16,512,Windows 11,6 GB Graphics,AMD Ryzen 7
601,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
261,HP,76990.0,16,1024,Windows 11,4 GB Graphics,Intel Core i5
496,DELL,116490.0,16,512,Windows 10,Integrated,Intel Core i7
529,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
414,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
167,Lenovo,39990.0,8,512,Windows 11,Integrated,Intel Core i3
54,ASUS,56990.0,16,512,Windows 11,Integrated,Intel Core i3
249,HP,60990.0,16,512,Windows 11,Integrated,Intel Core i5
46,HP,46980.0,8,512,Windows 11,Integrated,Intel Core 3
93,HP,50190.0,8,512,Windows 11,Integrated,Intel Core 3
272,Samsung,59930.0,16,512,Windows 11,Integrated,Intel Core 5
108,Acer,58586.0,16,1024,Windows 11,Integrated,AMD Ryzen 7
280,Acer,71400.0,16,512,Windows 11,Integrated,Intel Core Ultra
195,HP,55900.0,16,512,Windows 11,Integrated,Intel Core i3
613,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
495,Lenovo,48986.0,16,512,Windows 11,Integrated,AMD Ryzen 5
451,HP,69990.0,16,1024,Windows 11,Integrated,Intel Core i5
244,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
393,HP,49900.0,8,512,Windows 11,Integrated,AMD Ryzen 5
310,ASUS,68823.0,16,512,Windows 11,Integrated,Intel Core i7
408,Lenovo,79890.0,16,1024,Windows 11,Integrated,Intel Core Ultra
572,ASUS,62990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
264,Lenovo,72586.0,16,512,Windows 11,Integrated,Intel Core i5
487,ASUS,65999.0,16,512,Windows 11,Integrated,Intel Core 5
69,Acer,44990.0,16,512,Windows 11,Integrated,Intel Core i3
547,Primebook,19990.0,8,512,Windows 11,Integrated,Intel Core Ultra
417,MSI,100990.0,32,1024,Windows 11,Integrated,Intel Core i7
286,Lenovo,16990.0,4,512,Windows 11,Integrated,Intel Core Ultra
537,HP,49707.0,8,512,Windows 11,Integrated,AMD Ryzen 5
540,Lenovo,83947.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
298,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
149,Apple,77990.0,8,512,Windows 11,Integrated,Intel Core Ultra
124,ASUS,24990.0,8,512,Windows 11,Integrated,Intel Core Ultra
442,MSI,63956.0,8,512,Windows 11,4 GB Graphics,AMD Ryzen 5
481,ASUS,72990.0,16,512,Windows 11,Integrated,Intel Core i5
185,HP,47990.0,8,512,Windows 11,Integrated,Intel Core i3
247,ASUS,71990.0,32,512,Windows 11,Integrated,Intel Core i5
299,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
526,MSI,84490.0,16,512,Windows 11,4 GB Graphics,Intel Core i5
271,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
278,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
31,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
590,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
522,DELL,51990.0,8,256,Windows 11,Integrated,Intel Core i5
579,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
470,Acer,54990.0,8,512,Windows 11,Integrated,Intel Core i5
605,Lenovo,55190.0,8,512,Windows 11,Integrated,Intel Core i3
114,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
203,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
141,HP,61388.0,16,512,Windows 11,Integrated,AMD Ryzen 7
349,ASUS,48990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
7,Lenovo,53990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
533,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
19,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
172,ASUS,37990.0,16,512,Windows 11,Integrated,AMD Ryzen 3
467,HP,51025.0,8,512,Windows 11,Integrated,AMD Ryzen 5
56,HP,60990.0,16,512,Windows 11,Integrated,Intel Core i5
318,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
346,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
606,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
332,MSI,86990.0,16,512,Windows 11,6 GB Graphics,Intel Core i7
320,Thomson,41990.0,16,512,Windows 11,Integrated,Intel Core i7
49,Lenovo,43900.0,8,512,Windows 11,Integrated,Intel Core Ultra
274,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
25,Acer,39000.0,8,512,Windows 11,Integrated,Intel Core Ultra
388,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
603,Acer,70490.0,8,512,Windows 11,4 GB Graphics,Intel Core i5
220,HP,49000.0,8,512,Windows 11,Integrated,Intel Core i3
433,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
305,HP,43999.0,8,256,Windows 11,Integrated,Intel Core Ultra
245,HP,51990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
370,Samsung,69990.0,8,512,Windows 11,Integrated,Intel Core 5
154,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
126,ASUS,78990.0,16,512,Windows 11,Integrated,Intel Core i7
354,ASUS,136490.0,16,512,Windows 11,Integrated,Intel Core Ultra
113,Ultimus,24699.0,8,512,Windows 11,Integrated,Intel Core Ultra
173,Acer,64757.0,16,512,Windows 11,Integrated,Intel Core Ultra
57,HP,67990.0,8,512,Windows 11,Integrated,Intel Core i5
331,ASUS,70990.0,16,512,Windows 11,Integrated,AMD Ryzen 7
222,HP,61149.0,16,512,Windows 11,Integrated,AMD Ryzen 5
17,Ultimus,21990.0,8,256,Windows 11,Integrated,Intel Core Ultra
360,Thomson,27990.0,8,512,Windows 11,Integrated,Intel Core i3
255,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
422,DELL,59990.0,8,512,Windows 11,Integrated,Intel Core 3
587,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
190,DELL,46990.0,8,512,Windows 11,Integrated,Intel Core 3
328,Lenovo,61900.0,16,512,Windows 11,Integrated,Intel Core i5
539,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
381,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
94,HP,59990.0,16,512,Windows 11,Integrated,Intel Core 5
180,Acer,57500.0,8,512,Windows 11,Integrated,AMD Ryzen 5
341,Acer,73767.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
338,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
321,Colorful,92499.0,16,512,Windows 11,8 GB Graphics,Intel Core i7
5,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
45,DELL,46990.0,16,512,Windows 11,Integrated,Intel Core i3
302,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
551,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
521,HP,55000.0,8,512,Windows 10,Integrated,AMD Ryzen 5
16,HP,59491.0,16,512,Windows 11,Integrated,Intel Core 3
48,ASUS,38990.0,8,512,Windows 11,Integrated,AMD Ryzen 3
593,Acer,62490.0,8,512,Windows 10,2 GB Graphics,Intel Core i5
503,MICROSOFT,99990.0,16,256,Windows 11,Integrated,Snapdragon X
3,ASUS,37990.0,8,512,Windows 11,Integrated,Intel Core i3
336,HP,59990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
453,ASUS,59500.0,16,512,Windows 11,Integrated,Intel Core i5
374,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
513,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
311,Acer,55990.0,16,1024,Windows 11,Integrated,AMD Ryzen 5
225,Acer,57990.0,8,512,Windows 11,4 GB Graphics,Intel Core i5
26,Acer,20990.0,12,256,Windows 11,Integrated,Intel Core Ultra
438,HP,60990.0,16,512,Windows 11,Integrated,Intel Core i5
263,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
50,Lenovo,72990.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
229,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
37,ASUS,56013.0,16,512,Windows 11,Integrated,Intel Core i3
157,ASUS,40990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
237,DELL,45250.0,8,512,Windows 11,Integrated,Intel Core 3
588,DELL,86990.0,8,512,Windows 10,4 GB Graphics,Intel Core i7
175,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
515,HP,70547.0,16,512,Windows 11,4 GB Graphics,Intel Core i5
506,WINGS,38490.0,8,512,Windows 11,Integrated,Intel Core i5
194,DELL,45990.0,8,512,Windows 11,Integrated,Intel Core i3
517,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
335,HP,49273.0,8,512,Windows 11,Integrated,AMD Ryzen 5
592,Apple,209900.0,24,1024,Windows 11,Integrated,Intel Core Ultra
523,ASUS,63999.0,16,512,Windows 11,Integrated,Intel Core i5
67,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
329,ASUS,57476.0,16,512,Windows 11,Integrated,Intel Core i5
168,Lenovo,82490.0,24,512,Windows 11,8 GB Graphics,AMD Ryzen 7
334,Acer,88499.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
162,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
309,Acer,57990.0,16,512,Windows 11,Integrated,Intel Core i5
193,ASUS,100990.0,16,512,Windows 11,Integrated,Intel Core Ultra
152,ASUS,96990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
357,ASUS,47645.0,8,512,Windows 11,Integrated,Intel Core i3
444,DELL,68990.0,8,512,Windows 11,Integrated,Intel Core i5
501,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
531,Lenovo,63990.0,16,512,Windows 11,Integrated,Intel Core i5-13420H
103,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
404,ASUS,65748.0,16,512,Windows 11,Integrated,Intel Core i5
74,Lenovo,61999.0,16,512,Windows 11,Integrated,Intel Core i5
436,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
591,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
119,ASUS,35490.0,8,512,Windows 11,Integrated,AMD Ryzen 5
400,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
423,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
497,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
207,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
344,HP,56990.0,16,512,Windows 11,Integrated,Intel Core i5
364,Samsung,130490.0,16,512,Windows 11,Integrated,Intel Core Ultra
352,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
524,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
8,ASUS,37990.0,16,512,Windows 11,Integrated,AMD Ryzen 3
390,Acer,54990.0,16,1024,Windows 11,Integrated,AMD Ryzen 5
36,Lenovo,50990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
139,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
253,Acer,44990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
303,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
403,HP,52990.0,8,512,Windows 11,4 GB Graphics,AMD Ryzen 5
59,Acer,21990.0,8,512,Windows 11,Integrated,Intel Core Ultra
111,Infinix,45990.0,16,512,Windows 11,Integrated,Intel Core i7
365,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
375,Lenovo,89000.0,16,512,Windows 11,1 GB Graphics,Intel Core i5
563,Samsung,106990.0,16,512,Windows 11,Integrated,Intel Core 5
262,ASUS,38990.0,8,512,Windows 11,Integrated,AMD Ryzen 3
586,HP,49990.0,8,256,Windows 11,Integrated,Intel Core Ultra
297,MSI,64990.0,16,512,Windows 11,Integrated,Intel Core i7
150,MSI,44990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
266,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
530,ASUS,65548.0,8,512,Windows 11,Integrated,Intel Core i5
542,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
38,Acer,36990.0,8,512,Windows 11,Integrated,Intel Core i3
447,HP,76983.0,16,512,Windows 11,6 GB Graphics,AMD Ryzen 5
307,Acer,63522.0,16,1024,Windows 11,Integrated,Intel Core Ultra
198,DELL,51990.0,8,512,Windows 11,Integrated,Intel Core i3
480,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
367,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
146,Infinix,46999.0,16,512,Windows 11,Integrated,Intel Core i7
486,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
544,MSI,70023.0,16,512,Windows 11,4 GB Graphics,Intel Core i5
147,HP,72490.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
434,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
348,ASUS,63990.0,16,512,Windows 11,Integrated,Intel Core i5
325,MSI,91990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
405,ZEBRONICS,51999.0,16,512,Windows 11,Integrated,Intel Core i5
123,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
516,Avita,25990.0,4,128,Windows 10,Integrated,Intel Core Ultra
96,ASUS,19990.0,4,512,Windows 11,Integrated,Intel Core Ultra
143,Apple,98490.0,8,512,Windows 11,Integrated,Intel Core Ultra
239,DELL,48990.0,16,512,Windows 11,Integrated,Intel Core i3
554,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
97,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
371,HP,44980.0,8,512,Windows 11,Integrated,AMD Ryzen 3
324,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
279,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
293,ASUS,70990.0,16,512,Windows 11,Integrated,Intel Core Ultra
493,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
122,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
183,ASUS,119990.0,16,512,Windows 11,Integrated,Intel Core 7
202,DELL,54990.0,8,512,Windows 11,Integrated,Intel Core i5
323,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
246,ASUS,65990.0,8,512,Windows 11,Integrated,Intel Core i5
432,Lenovo,79999.0,16,1024,Windows 11,Integrated,Intel Core i5
420,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
494,HP,47558.0,8,512,Windows 11,Integrated,Intel Core i3
424,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
541,ASUS,78013.0,16,512,Windows 11,Integrated,Intel Core i7
402,DELL,52990.0,16,512,Windows 11,Integrated,Intel Core 3
125,Lenovo,73490.0,16,1024,Windows 11,Integrated,Intel Core i5
546,Acer,78990.0,16,512,Windows 11,Integrated,Intel Core i7
561,HP,64999.0,8,512,Windows 11,AMD Radeon,AMD Ryzen 5
223,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
342,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
53,Acer,44479.0,8,512,Windows 11,Integrated,AMD Ryzen 3
219,ASUS,59890.0,16,512,Windows 11,Integrated,Intel Core 5
129,DELL,44990.0,8,512,Windows 11,Integrated,Intel Core i3
555,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
407,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
463,HP,49890.0,8,512,Windows 11,Integrated,AMD Ryzen 5
557,DELL,64990.0,16,512,Windows 11,Integrated,Intel Core i5
409,MICROSOFT,108990.0,16,512,Windows 11,Integrated,Snapdragon X
500,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
416,HP,55990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
386,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
594,Acer,56990.0,16,512,Windows 11,Integrated,Intel Core i5
294,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
267,Infinix,82490.0,32,1024,Windows 11,Integrated,Intel Core i9
477,HP,55999.0,16,512,Windows 11,Integrated,Intel Core i3
429,HP,72827.0,16,512,Windows 11,Integrated,Intel Core i5
112,Apple,96990.0,16,256,Windows 11,Integrated,Intel Core Ultra
179,HP,112800.0,24,1024,Windows 11,8 GB Graphics,AMD Ryzen 7
612,Lenovo,49990.0,16,512,Windows 11,Integrated,AMD Ryzen 5
552,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
465,MSI,62990.0,8,1024,Windows 10,4 GB Graphics,Intel Core i5
373,ASUS,97335.0,16,512,Windows 11,Integrated,Intel Core 5
