,brand,original_price,current_price,discount_price,ram,storage,os,graphics,processor
0,MICROSOFT,118498.0,111102.0,6.241455551992439,16.0,256.0,Windows 11,Integrated,Snapdragon X
1,MICROSOFT,115898.0,110902.0,4.31068698338194,16.0,512.0,Windows 11,Integrated,Snapdragon X
2,ASUS,48990.0,40990.0,16.329863237395386,8.0,512.0,Windows 11,Integrated,AMD Ryzen 5
3,ASUS,50990.0,37990.0,25.495195136301234,8.0,512.0,Windows 11,Integrated,Intel Core i3
4,HP,120928.0,112800.0,6.721354855781953,24.0,1024.0,Windows 11,8 GB Graphics,AMD Ryzen 7
5,MOTOROLA,104990.0,59990.0,42.86122487855986,16.0,512.0,Windows 11,Integrated,Intel Core Ultra
6,HP,69023.0,64990.0,5.842979876273127,16.0,512.0,Windows 11,Integrated,Intel Core i5
7,Lenovo,59090.0,53990.0,8.630902013877137,16.0,512.0,Windows 11,Integrated,AMD Ryzen 5
8,ASUS,158090.0,37990.0,75.96938452780063,16.0,512.0,Windows 11,Integrated,AMD Ryzen 3
9,MOTOROLA,389990.0,59990.0,84.617554296264,16.0,512.0,Windows 11,Integrated,Intel Core Ultra
10,ASUS,92746.0,40990.0,55.804023893213724,8.0,512.0,Windows 11,Integrated,Intel Core i3
11,HP,70990.0,60990.0,14.086491055078179,16.0,512.0,Windows 11,Integrated,Intel Core i5
12,Lenovo,176990.0,54990.0,68.93044804791231,16.0,512.0,Windows 11,Integrated,Intel Core i5
13,ASUS,119498.0,88990.0,25.53013439555474,16.0,512.0,Windows 11,Integrated,Intel Core Ultra
14,Acer,85991.0,39990.0,53.49513321161516,12.0,512.0,Windows 11,Integrated,Intel Core Ultra
15,HP,109999.0,80990.0,26.372057927799343,16.0,1024.0,Windows 11,Integrated,Intel Core Ultra
16,HP,94890.0,59491.0,37.30530087469702,16.0,512.0,Windows 11,Integrated,Intel Core 3
17,Ultimus,30790.0,21990.0,28.580708022085094,8.0,256.0,Windows 11,Integrated,Intel Core Ultra
18,Lenovo,118498.0,27990.0,76.37934817465273,8.0,512.0,Windows 11,Integrated,Intel Core Ultra
19,MICROSOFT,115898.0,111102.0,4.138121451621253,16.0,256.0,Windows 11,Integrated,Snapdragon X
